"latitude","longitude","room_type","reviews_per_month","review_performance","minimum_nights","neighbourhood","neighbourhood_group","calculated_host_listings_count","availability_365","price"
40.78558,-73.97251,"Entire home/apt",0.08,4,30,"Upper West Side","Manhattan","8",346,172
40.73464,-74.00225,"Entire home/apt",1.52,41,3,"West Village","Manhattan","1",357,950
40.69248,-73.96983,"Entire home/apt",1.07,117,4,"Fort Greene","Brooklyn","2",310,275
40.78954,-73.97222,"Entire home/apt",0.02,0,30,"Upper West Side","Manhattan","8",113,99
40.73506,-73.99728,"Entire home/apt",0.24,16,11,"Greenwich Village","Manhattan","1",238,334
40.76896,-73.95898,"Private room",0.02,0,7,"Upper East Side","Manhattan","1",0,60
40.68364,-73.92638,"Entire home/apt",2.62,299,3,"Bedford-Stuyvesant","Brooklyn","1",303,145
40.7603,-73.91395,"Private room",0.52,26,4,"Astoria","Queens","1",10,75
40.72602,-74.00318,"Entire home/apt",0.43,48,20,"SoHo","Manhattan","1",11,130
40.71927,-74.00453,"Entire home/apt",5.89,666,1,"Tribeca","Manhattan","3",207,575
40.77896,-73.97849,"Entire home/apt",0.03,1,7,"Upper West Side","Manhattan","2",0,295
40.73303,-74.00237,"Entire home/apt",1.44,161,3,"West Village","Manhattan","1",318,300
40.67319,-73.95987,"Entire home/apt",0.02,0,28,"Crown Heights","Brooklyn","2",280,120
40.68923,-73.91946,"Private room",1.22,135,3,"Bushwick","Brooklyn","3",171,50
40.79307,-73.95138,"Shared room",1.53,173,2,"East Harlem","Manhattan","1",303,56
40.76249,-73.96054,"Entire home/apt",0.94,95,2,"Upper East Side","Manhattan","1",347,191
40.79962,-73.96523,"Private room",0.93,83,7,"Upper West Side","Manhattan","1",44,135
40.66162,-73.97994,"Entire home/apt",1.39,145,7,"South Slope","Brooklyn","1",94,195
40.80132,-73.95568,"Shared room",0.61,62,1,"Harlem","Manhattan","1",9,75
40.81309,-73.95267,"Private room",0.6,33,10,"Harlem","Manhattan","1",83,99
40.68204,-73.99249,"Entire home/apt",0.59,59,3,"Carroll Gardens","Brooklyn","2",22,350
40.70607,-73.935,"Entire home/apt",0.13,6,15,"Williamsburg","Brooklyn","3",365,40
40.76295,-73.92652,"Entire home/apt",0.77,86,1,"Astoria","Queens","1",301,130
40.65915,-73.9601,"Entire home/apt",0.64,68,2,"Prospect-Lefferts Gardens","Brooklyn","1",339,225
40.67541,-73.9784,"Entire home/apt",0.11,5,7,"Park Slope","Brooklyn","1",342,225
40.76777,-73.91109,"Shared room",1.67,188,1,"Astoria","Queens","4",55,38
40.68924,-73.9681,"Entire home/apt",0.17,12,7,"Clinton Hill","Brooklyn","1",11,200
40.68771,-73.96186,"Entire home/apt",0.07,5,6,"Clinton Hill","Brooklyn","1",3,235
40.6627,-73.95875,"Private room",0.11,5,5,"Prospect-Lefferts Gardens","Brooklyn","1",365,75
40.72031,-73.9483,"Entire home/apt",0.94,103,30,"Greenpoint","Brooklyn","1",273,249
40.70798,-73.94263,"Entire home/apt",0.1,6,5,"Williamsburg","Brooklyn","1",0,120
40.69017,-73.95493,"Private room",0.03,0,28,"Bedford-Stuyvesant","Brooklyn","2",343,50
40.66974,-73.958,"Entire home/apt",0.85,14,3,"Crown Heights","Brooklyn","1",149,85
40.67515,-73.95435,"Private room",0.14,9,3,"Crown Heights","Brooklyn","2",95,78
40.72198,-73.98932,"Private room",0.69,59,3,"Lower East Side","Manhattan","1",0,110
40.6787,-73.97065,"Private room",1.82,204,3,"Prospect Heights","Brooklyn","4",315,50
40.82153,-73.95512,"Private room",2.17,238,3,"Harlem","Manhattan","2",0,52
40.77421,-73.9528,"Entire home/apt",0.26,17,45,"Upper East Side","Manhattan","1",109,105
40.70538,-73.89448,"Private room",1.74,196,2,"Glendale","Queens","1",333,75
40.74417,-73.94823,"Private room",0.18,17,7,"Long Island City","Queens","1",365,69
40.72538,-73.98351,"Entire home/apt",0.15,8,60,"East Village","Manhattan","1",311,165
40.67651,-73.98007,"Entire home/apt",0.66,43,2,"Park Slope","Brooklyn","1",0,125
40.81906,-73.92806,"Private room",0.18,13,2,"Concourse","Bronx","2",363,85
40.72351,-73.98283,"Entire home/apt",0.63,68,5,"East Village","Manhattan","1",341,499
40.72944,-73.98645,"Private room",0.87,98,5,"East Village","Manhattan","1",232,60
40.72346,-73.97907,"Private room",0.46,51,5,"East Village","Manhattan","1",320,95
40.69872,-73.94635,"Entire home/apt",1.01,17,5,"Bedford-Stuyvesant","Brooklyn","1",0,105
40.69449,-73.91156,"Private room",0.86,95,2,"Bushwick","Brooklyn","5",235,55
40.71132,-73.94493,"Entire home/apt",0.58,57,2,"Williamsburg","Brooklyn","4",88,289
40.64871,-74.00774,"Private room",0.6,47,2,"Sunset Park","Brooklyn","3",0,70
40.80938,-73.94196,"Entire home/apt",0.16,4,7,"Harlem","Manhattan","1",231,130
40.65743,-73.96155,"Entire home/apt",0.61,55,2,"Prospect-Lefferts Gardens","Brooklyn","1",3,125
40.68854,-73.95742,"Entire home/apt",0.23,24,2,"Bedford-Stuyvesant","Brooklyn","2",23,150
40.75537,-73.91648,"Private room",0.93,101,4,"Astoria","Queens","2",173,46
40.77054,-73.95497,"Entire home/apt",2.97,337,3,"Upper East Side","Manhattan","1",221,100
40.718,-73.96603,"Private room",0.11,7,5,"Williamsburg","Brooklyn","1",0,90
40.72091,-73.96124,"Entire home/apt",2.21,197,3,"Williamsburg","Brooklyn","1",104,90
40.75879,-73.9638,"Entire home/apt",0.02,0,360,"Midtown","Manhattan","1",0,220
40.72008,-74.0043,"Entire home/apt",0.36,37,1,"Tribeca","Manhattan","3",37,1000
40.6824,-73.93597,"Entire home/apt",0.72,55,30,"Bedford-Stuyvesant","Brooklyn","3",171,130
40.74398,-73.99624,"Entire home/apt",1.68,187,6,"Chelsea","Manhattan","2",303,499
40.82943,-73.94728,"Private room",3.05,26,2,"Harlem","Manhattan","2",197,45
40.69235,-73.93836,"Entire home/apt",2.79,314,2,"Bedford-Stuyvesant","Brooklyn","2",288,70
40.75334,-73.81699,"Private room",3.7,412,1,"Flushing","Queens","3",322,59
40.74112,-74.00177,"Entire home/apt",1.16,87,5,"Chelsea","Manhattan","1",0,160
40.8035,-73.94764,"Entire home/apt",1.76,189,4,"Harlem","Manhattan","1",278,195
40.64745,-73.95606,"Private room",0.77,83,3,"Flatbush","Brooklyn","1",364,96
40.71454,-73.9507,"Private room",2.39,262,3,"Williamsburg","Brooklyn","2",136,75
40.71797,-73.95508,"Entire home/apt",2.34,253,3,"Williamsburg","Brooklyn","3",273,195
40.77117,-73.90427,"Private room",0.68,23,1,"Ditmars Steinway","Queens","2",364,200
40.68753,-73.95851,"Entire home/apt",0.38,37,30,"Bedford-Stuyvesant","Brooklyn","1",205,139
40.81241,-73.94371,"Entire home/apt",0.43,32,30,"Harlem","Manhattan","2",84,190
40.80384,-73.95419,"Private room",0.57,39,2,"Harlem","Manhattan","1",320,95
40.71886,-73.98497,"Entire home/apt",0.1,7,3,"Lower East Side","Manhattan","1",364,350
40.73323,-73.98224,"Private room",0.1,5,3,"Gramercy","Manhattan","3",217,80
40.79535,-73.93274,"Entire home/apt",1.11,121,5,"East Harlem","Manhattan","2",242,120
40.85933,-73.92863,"Private room",0.79,68,1,"Inwood","Manhattan","2",357,42
40.70851,-73.949,"Entire home/apt",1.49,167,4,"Williamsburg","Brooklyn","1",127,116
40.64851,-73.94667,"Private room",4.72,532,1,"East Flatbush","Brooklyn","3",19,60
40.67881,-73.99379,"Entire home/apt",0.73,80,1,"Carroll Gardens","Brooklyn","2",362,1395
40.77014,-73.96222,"Entire home/apt",0.91,99,2,"Upper East Side","Manhattan","1",358,425
40.68554,-73.98924,"Entire home/apt",1.26,133,4,"Boerum Hill","Brooklyn","1",251,225
40.7265,-73.99,"Entire home/apt",0.25,19,5,"East Village","Manhattan","2",0,159
40.76463,-73.98112,"Private room",0.74,64,7,"Midtown","Manhattan","3",365,150
40.7744,-73.95578,"Entire home/apt",1.54,171,1,"Upper East Side","Manhattan","1",300,199
40.67418,-73.94661,"Private room",0.06,3,1,"Crown Heights","Brooklyn","1",0,70
40.79417,-73.94376,"Entire home/apt",3.14,342,31,"East Harlem","Manhattan","2",84,110
40.69935,-73.93713,"Private room",0.13,14,2,"Bushwick","Brooklyn","2",18,60
40.67046,-73.94835,"Private room",0.08,1,3,"Crown Heights","Brooklyn","1",0,50
40.72046,-73.98773,"Private room",4.79,534,1,"Lower East Side","Manhattan","1",240,120
40.67414,-73.95667,"Private room",0.68,76,2,"Crown Heights","Brooklyn","2",57,60
40.75783,-73.96383,"Entire home/apt",1.94,214,2,"Midtown","Manhattan","1",148,145
40.71273,-73.94399,"Entire home/apt",0.21,16,30,"Williamsburg","Brooklyn","2",26,83
40.72086,-73.99999,"Private room",0.87,91,3,"SoHo","Manhattan","2",355,100
40.67151,-73.94885,"Entire home/apt",0.08,2,2,"Crown Heights","Brooklyn","1",0,200
40.825,-73.94132,"Private room",1.97,212,3,"Harlem","Manhattan","1",211,50
40.74573,-73.99712,"Private room",2.72,304,1,"Chelsea","Manhattan","1",15,70
40.68304,-73.99819,"Entire home/apt",3.68,413,2,"Carroll Gardens","Brooklyn","1",218,175
40.6803,-73.96059,"Entire home/apt",0.36,25,28,"Crown Heights","Brooklyn","1",265,149
40.67685,-74.00581,"Entire home/apt",2.15,240,3,"Red Hook","Brooklyn","1",300,125
40.79794,-73.93223,"Private room",4.3,481,1,"East Harlem","Manhattan","1",284,58
40.76359,-73.92531,"Entire home/apt",0.26,16,2,"Astoria","Queens","2",56,160
40.74361,-73.91662,"Entire home/apt",0.12,7,30,"Sunnyside","Queens","2",365,150
40.73807,-73.98187,"Entire home/apt",0.61,33,30,"Gramercy","Manhattan","2",33,131
40.73775,-73.98324,"Entire home/apt",0.39,22,30,"Gramercy","Manhattan","2",327,250
40.75959,-73.90835,"Private room",1.81,201,1,"Astoria","Queens","2",359,70
40.71972,-73.99438,"Entire home/apt",0.35,37,5,"Nolita","Manhattan","1",0,149
40.65475,-74.01211,"Entire home/apt",0.96,103,2,"Sunset Park","Brooklyn","1",339,109
40.75964,-73.98534,"Private room",3.22,361,2,"Theater District","Manhattan","1",127,185
40.72428,-73.94472,"Entire home/apt",0.1,7,14,"Greenpoint","Brooklyn","1",356,138
40.73099,-73.98762,"Private room",0.48,46,10,"East Village","Manhattan","2",0,150
40.68532,-73.92429,"Private room",0.2,19,1,"Bedford-Stuyvesant","Brooklyn","2",283,80
40.72613,-73.93915,"Entire home/apt",0.03,1,2,"Greenpoint","Brooklyn","1",0,75
40.74877,-73.9994,"Entire home/apt",0.62,65,5,"Chelsea","Manhattan","1",87,300
40.74197,-73.99702,"Private room",1.63,182,2,"Chelsea","Manhattan","1",268,176
40.6536,-73.94883,"Private room",3.27,354,2,"East Flatbush","Brooklyn","2",0,47
40.83535,-73.94334,"Private room",0.67,38,7,"Washington Heights","Manhattan","6",272,40
40.66326,-73.98805,"Private room",0.66,72,1,"South Slope","Brooklyn","4",24,89
40.78859,-73.94715,"Private room",2.03,221,2,"East Harlem","Manhattan","4",12,75
40.69034,-73.95321,"Entire home/apt",2.72,291,7,"Bedford-Stuyvesant","Brooklyn","2",284,110
40.81102,-73.94562,"Entire home/apt",0.47,24,30,"Harlem","Manhattan","1",0,85
40.73026,-73.95596,"Private room",0.72,78,4,"Greenpoint","Brooklyn","1",71,72
40.80602,-73.95362,"Private room",3.12,346,2,"Harlem","Manhattan","1",72,85
40.63612,-73.946,"Entire home/apt",0.31,24,2,"East Flatbush","Brooklyn","4",328,325
40.69305,-73.90398,"Entire home/apt",1.55,173,2,"Bushwick","Brooklyn","1",365,125
40.78264,-73.97803,"Entire home/apt",0.06,2,3,"Upper West Side","Manhattan","1",0,200
40.68754,-73.99284,"Entire home/apt",0.51,55,30,"Cobble Hill","Brooklyn","1",345,195
40.68779,-73.98517,"Entire home/apt",3.01,335,4,"Boerum Hill","Brooklyn","1",247,189
40.68674,-73.93845,"Entire home/apt",0.37,39,9,"Bedford-Stuyvesant","Brooklyn","1",23,182
40.67271,-73.94551,"Entire home/apt",4.73,520,1,"Crown Heights","Brooklyn","2",277,105
40.74268,-73.97853,"Entire home/apt",0.89,98,1,"Kips Bay","Manhattan","1",321,240
40.68185,-73.90655,"Entire home/apt",1.33,139,4,"Bushwick","Brooklyn","2",215,185
40.7457,-73.99775,"Entire home/apt",0.07,6,4,"Chelsea","Manhattan","1",168,160
40.73708,-73.98455,"Entire home/apt",0.31,34,4,"Gramercy","Manhattan","1",11,250
40.74052,-73.97907,"Entire home/apt",0.48,53,30,"Kips Bay","Manhattan","1",256,650
40.736,-73.92425,"Private room",1.76,88,5,"Sunnyside","Queens","4",250,35
40.58408,-73.94122,"Entire home/apt",0.97,59,4,"Sheepshead Bay","Brooklyn","2",360,85
40.66698,-73.98162,"Entire home/apt",0.3,26,3,"Park Slope","Brooklyn","1",1,550
40.68068,-73.9535,"Private room",0.62,65,2,"Bedford-Stuyvesant","Brooklyn","1",159,80
40.71852,-73.95616,"Entire home/apt",0.43,45,6,"Williamsburg","Brooklyn","1",291,175
40.66773,-73.96144,"Private room",1.75,196,2,"Crown Heights","Brooklyn","1",354,95
40.80477,-73.9512,"Entire home/apt",0.49,54,4,"Harlem","Manhattan","3",314,158
40.71744,-73.99718,"Private room",0.58,55,3,"Chinatown","Manhattan","1",5,85
40.72068,-73.99576,"Entire home/apt",0.46,27,1,"Nolita","Manhattan","1",365,209
40.68545,-73.97572,"Entire home/apt",0.29,30,2,"Fort Greene","Brooklyn","3",3,150
40.688,-73.97745,"Private room",0.88,81,2,"Fort Greene","Brooklyn","3",13,70
40.77103,-73.89461,"Private room",0.13,8,1,"Ditmars Steinway","Queens","1",363,73
40.67771,-73.98152,"Private room",0.02,0,2,"Park Slope","Brooklyn","1",0,85
40.68798,-73.93903,"Entire home/apt",2.92,322,3,"Bedford-Stuyvesant","Brooklyn","1",246,95
40.71353,-73.96216,"Entire home/apt",0.26,20,2,"Williamsburg","Brooklyn","1",0,125
40.72212,-73.99676,"Private room",0.41,43,3,"Nolita","Manhattan","2",190,89
40.72541,-73.9567,"Private room",0.51,51,2,"Greenpoint","Brooklyn","3",232,50
40.70974,-73.93962,"Private room",0.99,106,5,"Williamsburg","Brooklyn","2",307,75
40.68316,-73.93906,"Private room",0.87,94,1,"Bedford-Stuyvesant","Brooklyn","4",26,60
40.83479,-73.94345,"Private room",0.54,29,5,"Washington Heights","Manhattan","6",244,45
40.72065,-73.959,"Entire home/apt",0.02,0,14,"Williamsburg","Brooklyn","1",296,130
40.80815,-73.94325,"Private room",0.22,16,28,"Harlem","Manhattan","3",365,70
40.72778,-73.98305,"Private room",3.3,361,2,"East Village","Manhattan","1",216,125
40.71928,-73.98993,"Entire home/apt",1.68,187,3,"Lower East Side","Manhattan","1",228,140
40.66065,-73.98817,"Entire home/apt",0.18,17,3,"Sunset Park","Brooklyn","1",201,120
40.68769,-73.9749,"Private room",0.17,4,5,"Fort Greene","Brooklyn","1",250,99
40.64024,-73.96976,"Entire home/apt",0.02,0,5,"Kensington","Brooklyn","1",15,300
40.82865,-73.94621,"Private room",0.81,89,3,"Harlem","Manhattan","1",285,47
40.71446,-73.98833,"Private room",0.48,43,3,"Lower East Side","Manhattan","2",339,115
40.6831,-73.94434,"Entire home/apt",0.05,4,2,"Bedford-Stuyvesant","Brooklyn","1",0,90
40.72271,-73.98478,"Entire home/apt",0.63,61,3,"East Village","Manhattan","1",330,199
40.82101,-73.94582,"Entire home/apt",1.09,122,3,"Harlem","Manhattan","1",15,110
40.68767,-73.91261,"Entire home/apt",4.11,460,3,"Bushwick","Brooklyn","1",99,100
40.67673,-73.96399,"Private room",1.09,113,14,"Prospect Heights","Brooklyn","1",336,90
40.68312,-73.94082,"Private room",0.89,97,1,"Bedford-Stuyvesant","Brooklyn","4",118,40
40.80745,-73.94279,"Entire home/apt",0.26,27,14,"Harlem","Manhattan","1",279,133
40.68034,-73.97321,"Private room",0.11,9,2,"Prospect Heights","Brooklyn","1",0,130
40.78898,-73.97589,"Entire home/apt",0.16,9,30,"Upper West Side","Manhattan","8",36,79
40.72855,-74.00136,"Entire home/apt",0.35,24,2,"Greenwich Village","Manhattan","1",188,200
40.74119,-74.00234,"Entire home/apt",0.25,28,3,"Chelsea","Manhattan","1",194,175
40.67659,-74.01551,"Entire home/apt",0.52,9,1,"Red Hook","Brooklyn","1",0,200
40.71756,-73.94839,"Entire home/apt",0.46,50,5,"Williamsburg","Brooklyn","1",365,300
40.78892,-73.97435,"Private room",0.17,11,3,"Upper West Side","Manhattan","1",219,135
40.67678,-73.96692,"Entire home/apt",2.36,253,3,"Prospect Heights","Brooklyn","1",265,189
40.66582,-73.99349,"Private room",0.11,3,1,"Sunset Park","Brooklyn","1",0,65
40.77097,-73.98083,"Entire home/apt",0.36,31,4,"Upper West Side","Manhattan","1",0,179
40.74057,-73.99771,"Entire home/apt",0.18,14,45,"Chelsea","Manhattan","1",279,90
40.67173,-73.98968,"Private room",0.19,8,1,"Gowanus","Brooklyn","1",98,49
40.71666,-73.94552,"Entire home/apt",1.19,88,3,"Williamsburg","Brooklyn","1",197,140
40.74658,-73.98847,"Entire home/apt",0.95,102,2,"Midtown","Manhattan","1",120,115
40.6866,-73.99123,"Entire home/apt",3,329,1,"Cobble Hill","Brooklyn","1",238,190
40.72448,-73.94328,"Private room",2.61,260,5,"Greenpoint","Brooklyn","1",0,99
40.75274,-73.97026,"Entire home/apt",0.06,2,30,"Midtown","Manhattan","52",365,110
40.73125,-73.98344,"Private room",3.9,428,2,"East Village","Manhattan","2",231,109
40.73614,-74.00634,"Private room",0.56,58,5,"West Village","Manhattan","1",0,64
40.79208,-73.96482,"Entire home/apt",0.33,18,30,"Upper West Side","Manhattan","11",364,1000
40.73032,-73.98469,"Entire home/apt",0.18,10,3,"East Village","Manhattan","2",364,750
40.77755,-73.90599,"Entire home/apt",0.03,1,7,"Ditmars Steinway","Queens","1",8,175
40.80421,-73.94037,"Private room",0.08,8,1,"East Harlem","Manhattan","5",353,47
40.68018,-73.94839,"Private room",1.87,183,3,"Bedford-Stuyvesant","Brooklyn","1",189,60
40.83307,-73.93957,"Private room",0.62,66,14,"Washington Heights","Manhattan","1",287,48
40.79921,-73.93657,"Entire home/apt",0.75,80,1,"East Harlem","Manhattan","1",0,100
40.68247,-73.97837,"Private room",1.72,189,1,"Park Slope","Brooklyn","1",88,105
40.68798,-73.97182,"Entire home/apt",0.01,0,7,"Fort Greene","Brooklyn","1",0,138
40.7252,-73.98261,"Entire home/apt",1.31,126,1,"East Village","Manhattan","1",324,129
40.80815,-73.96779,"Entire home/apt",0.07,4,30,"Morningside Heights","Manhattan","1",1,170
40.73369,-73.95854,"Entire home/apt",3.8,419,1,"Greenpoint","Brooklyn","2",160,139
40.80449,-73.95687,"Private room",0.4,44,1,"Harlem","Manhattan","1",218,94
40.77068,-73.95867,"Private room",0.03,0,3,"Upper East Side","Manhattan","1",0,115
40.68675,-73.97713,"Entire home/apt",1.75,187,2,"Fort Greene","Brooklyn","1",256,499
40.68683,-73.92922,"Entire home/apt",2.66,293,2,"Bedford-Stuyvesant","Brooklyn","1",250,79
40.72845,-73.98598,"Entire home/apt",1.34,38,4,"East Village","Manhattan","1",0,200
40.72897,-73.95132,"Private room",0.17,17,5,"Greenpoint","Brooklyn","1",241,152
40.63381,-73.9714,"Private room",0.13,8,30,"Kensington","Brooklyn","1",205,50
40.71813,-73.95981,"Entire home/apt",0.91,75,2,"Williamsburg","Brooklyn","1",147,212
40.7948,-73.94835,"Private room",0.06,3,14,"East Harlem","Manhattan","3",38,108
40.73804,-74.00416,"Private room",0.18,14,30,"West Village","Manhattan","1",282,89
40.79025,-73.9488,"Private room",3.66,404,1,"East Harlem","Manhattan","2",47,89
40.74239,-73.92213,"Private room",0.16,14,2,"Sunnyside","Queens","1",332,65
40.78571,-73.97149,"Entire home/apt",0.04,2,4,"Upper West Side","Manhattan","1",184,239
40.69814,-73.92996,"Entire home/apt",0.25,15,30,"Bushwick","Brooklyn","2",280,99
40.84002,-73.9385,"Private room",0.76,82,2,"Washington Heights","Manhattan","1",249,80
40.73135,-73.95489,"Private room",1.57,170,7,"Greenpoint","Brooklyn","1",308,55
40.69776,-73.90939,"Entire home/apt",0.42,38,2,"Bushwick","Brooklyn","1",0,160
40.72011,-73.99468,"Private room",0.08,7,15,"Nolita","Manhattan","1",197,100
40.7302,-74.00165,"Entire home/apt",1.83,201,2,"Greenwich Village","Manhattan","1",10,225
40.74568,-73.98321,"Entire home/apt",0.08,5,7,"Midtown","Manhattan","1",191,275
40.68177,-73.9389,"Entire home/apt",3.93,119,2,"Bedford-Stuyvesant","Brooklyn","1",109,200
40.7252,-74.00279,"Entire home/apt",0.34,22,4,"SoHo","Manhattan","1",0,190
40.71374,-73.94642,"Private room",0.59,62,2,"Williamsburg","Brooklyn","1",88,117
40.74542,-73.98205,"Shared room",0.89,94,1,"Midtown","Manhattan","1",365,80
40.64298,-73.89035,"Entire home/apt",1.28,137,1,"Canarsie","Brooklyn","1",311,99
40.8506,-73.94023,"Entire home/apt",0.26,18,6,"Washington Heights","Manhattan","1",188,70
40.80393,-73.94046,"Private room",0.03,1,30,"East Harlem","Manhattan","5",325,44
40.8004,-73.95645,"Private room",1.15,126,1,"Harlem","Manhattan","1",301,125
40.71646,-73.97656,"Entire home/apt",0.44,44,2,"Lower East Side","Manhattan","1",184,130
40.76841,-73.95213,"Entire home/apt",0.11,6,14,"Upper East Side","Manhattan","1",332,130
40.74652,-74.00089,"Private room",3.07,340,2,"Chelsea","Manhattan","1",53,125
40.76636,-73.9855,"Entire home/apt",0.52,39,7,"Hell's Kitchen","Manhattan","1",184,199
40.67839,-73.96623,"Entire home/apt",1.68,163,4,"Prospect Heights","Brooklyn","1",297,155
40.73984,-74.00187,"Entire home/apt",0.12,6,2,"Chelsea","Manhattan","1",363,248
40.77938,-73.98721,"Entire home/apt",1.44,61,4,"Upper West Side","Manhattan","1",9,85
40.79631,-73.96152,"Private room",1.61,156,3,"Upper West Side","Manhattan","1",0,85
40.63719,-74.03489,"Entire home/apt",0.53,54,3,"Bay Ridge","Brooklyn","1",192,80
40.78943,-73.94726,"Private room",0.6,54,1,"East Harlem","Manhattan","4",106,79
40.70823,-73.89925,"Private room",3.87,334,1,"Ridgewood","Queens","2",356,55
40.80904,-73.93037,"Private room",0.87,94,2,"Port Morris","Bronx","1",307,65
40.76161,-73.99452,"Entire home/apt",0.1,8,60,"Hell's Kitchen","Manhattan","1",188,150
40.71976,-74.00571,"Entire home/apt",1.7,183,2,"Tribeca","Manhattan","1",131,285
40.76797,-73.92858,"Entire home/apt",0.63,15,7,"Astoria","Queens","1",143,119
40.57519,-73.95468,"Entire home/apt",0.81,87,2,"Brighton Beach","Brooklyn","1",80,137
40.76703,-73.95413,"Entire home/apt",2.6,283,2,"Upper East Side","Manhattan","1",282,190
40.71166,-73.9972,"Private room",0.03,0,1,"Two Bridges","Manhattan","1",0,80
40.68647,-73.95909,"Entire home/apt",2.39,228,3,"Bedford-Stuyvesant","Brooklyn","1",18,120
40.65176,-73.93452,"Entire home/apt",1.42,155,3,"East Flatbush","Brooklyn","1",333,95
40.83448,-73.94476,"Private room",0.48,26,1,"Washington Heights","Manhattan","1",189,90
40.69258,-73.96649,"Private room",0.16,13,3,"Clinton Hill","Brooklyn","1",318,75
40.67463,-73.91811,"Private room",0.21,6,8,"Crown Heights","Brooklyn","1",2,103
40.73138,-73.98807,"Entire home/apt",0.45,40,2,"East Village","Manhattan","1",179,125
40.69486,-73.97132,"Entire home/apt",2.87,319,2,"Fort Greene","Brooklyn","1",288,150
40.72499,-73.98127,"Private room",0.24,20,3,"East Village","Manhattan","1",365,148
40.72434,-73.97715,"Entire home/apt",0.17,13,29,"East Village","Manhattan","1",3,120
40.68272,-73.92885,"Entire home/apt",0.97,101,3,"Bedford-Stuyvesant","Brooklyn","2",270,99
40.77147,-73.9166,"Private room",1.39,152,2,"Ditmars Steinway","Queens","2",124,69
40.75099,-73.96994,"Entire home/apt",0.1,9,1,"Midtown","Manhattan","1",358,200
40.85121,-73.93734,"Private room",0.07,3,5,"Washington Heights","Manhattan","1",218,55
40.78806,-73.97969,"Entire home/apt",0.04,3,8,"Upper West Side","Manhattan","1",68,175
40.76247,-73.99294,"Private room",1.81,113,4,"Hell's Kitchen","Manhattan","1",21,240
40.82393,-73.95308,"Private room",0.03,1,7,"Harlem","Manhattan","2",365,95
40.59204,-73.78665,"Entire home/apt",1.49,161,1,"Arverne","Queens","1",358,150
40.67394,-73.95951,"Entire home/apt",0.04,0,2,"Crown Heights","Brooklyn","1",0,150
40.71317,-73.94851,"Entire home/apt",2.08,216,3,"Williamsburg","Brooklyn","2",282,179
40.71024,-73.9517,"Private room",5.06,554,1,"Williamsburg","Brooklyn","2",69,105
40.70653,-73.9462,"Entire home/apt",0.61,65,45,"Williamsburg","Brooklyn","1",244,84
40.69414,-73.82538,"Entire home/apt",0.46,34,30,"Richmond Hill","Queens","3",298,90
40.79293,-73.94048,"Entire home/apt",0.33,9,7,"East Harlem","Manhattan","2",0,53
40.8035,-73.94041,"Private room",0.09,4,30,"East Harlem","Manhattan","5",217,41
40.74389,-73.99159,"Private room",0.25,14,1,"Flatiron District","Manhattan","1",365,135
40.70382,-73.73955,"Entire home/apt",2.32,255,2,"Queens Village","Queens","2",345,84
40.71908,-74.00546,"Entire home/apt",0.29,31,1,"Tribeca","Manhattan","1",128,290
40.69122,-73.95648,"Shared room",1.49,116,5,"Bedford-Stuyvesant","Brooklyn","4",0,35
40.77546,-73.91571,"Entire home/apt",0.67,30,3,"Ditmars Steinway","Queens","1",14,110
40.72992,-73.95628,"Entire home/apt",0.06,2,7,"Greenpoint","Brooklyn","2",0,350
40.69652,-73.93548,"Private room",0.22,18,3,"Bedford-Stuyvesant","Brooklyn","1",294,60
40.71704,-73.95789,"Entire home/apt",0.37,35,4,"Williamsburg","Brooklyn","1",197,275
40.68764,-73.97545,"Entire home/apt",0.11,7,7,"Fort Greene","Brooklyn","1",188,142
40.67322,-73.95847,"Private room",0.02,0,5,"Crown Heights","Brooklyn","2",0,38
40.76168,-73.9949,"Entire home/apt",0.71,72,2,"Hell's Kitchen","Manhattan","1",193,200
40.71038,-73.96299,"Entire home/apt",0.79,83,3,"Williamsburg","Brooklyn","1",55,225
40.78104,-73.94916,"Entire home/apt",2.57,281,1,"Upper East Side","Manhattan","1",105,135
40.8291,-73.94816,"Private room",0.05,2,30,"Harlem","Manhattan","1",179,72
40.68185,-73.94108,"Private room",0.26,12,3,"Bedford-Stuyvesant","Brooklyn","2",100,59
40.66521,-73.95427,"Entire home/apt",0.37,32,2,"Crown Heights","Brooklyn","1",188,350
40.6412,-73.9786,"Private room",0.11,5,2,"Kensington","Brooklyn","1",312,75
40.69107,-73.91995,"Private room",0.65,14,3,"Bushwick","Brooklyn","2",0,70
40.80545,-73.95563,"Entire home/apt",0.09,4,30,"Harlem","Manhattan","1",0,99
40.68287,-73.87295,"Private room",0.74,29,3,"Cypress Hills","Brooklyn","2",355,42
40.69822,-73.93517,"Private room",0.15,16,2,"Bushwick","Brooklyn","2",296,60
40.69324,-73.93217,"Entire home/apt",2.21,225,1,"Bedford-Stuyvesant","Brooklyn","1",1,125
40.7084,-73.94153,"Private room",2.09,219,6,"Williamsburg","Brooklyn","3",252,99
40.67321,-73.96574,"Entire home/apt",0.25,11,5,"Prospect Heights","Brooklyn","1",0,99
40.68065,-73.95154,"Entire home/apt",1.84,136,3,"Bedford-Stuyvesant","Brooklyn","1",0,165
40.6458,-73.97097,"Entire home/apt",0.15,14,5,"Kensington","Brooklyn","1",34,250
